Response ID,City,State/Region,Professional Development,Monitoring,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",Clubs,Sports Leagues,Social Outings,Other interested Activities,Focus Areas in Future,Preferred Frequency,Preferred Hours,additional ideas or requests.
178,,FL,,,Cross-functional networking,Social activities & events,,3,2,1,,Sense of belonging,Monthly,After 5:00 pm,
175,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Sense of belonging,Monthly,Over the lunch hour,
189,,FL,,,,Social activities & events,,2,4,1,,Engagement & culture,Quarterly,Afternoon during work hours,"Would like to see the EAG have 2 big social events a year vs. lots of small events. With the group events, you have manager support to attend, and they turn into team outings (double duty). "
121,Nashville,TN,,Mentoring,Cross-functional networking,Social activities & events,,2,5,1,Coffee/lunch networking series,Engagement & culture,Monthly,Afternoon during work hours,"When scheduling EAG events, please check first with all departments about important board meetings etc."
179,,FL,,Mentoring,Cross-functional networking,Social activities & events,,4,5,3,,Professional development,Quarterly,Over the lunch hour,"WFH, I'd like to see opportunities for WFH employees who do not live in TN to participate in as well. Sense of belonging in a major challenge for them & they too play a critical part in what we do.  "
125,Austin,TX,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,4,3,1,"Team building, charity events",Engagement & culture,Monthly,Afternoon during work hours,"WFH, Consider how to include employees/companies that aren't in Nashville."
68,,FL,Professional Development,,Cross-functional networking,Social activities & events,,5,2,3,Wellness activities like yoga or meditation during the lunch hour.,Engagement & culture,Monthly,Over the lunch hour,Wellness activities like yoga or meditation during the lunch hour.
113,Nashville,TN,,,,,"I wish I had time, but I'm too busy",2,3,4,I would like an additional remote day or two or more PTO. I dont need to hang out with people I work with.,Engagement & culture,No preference,Over the lunch hour,Treat people to an occasional lunch program perhaps 
53,,,,Mentoring,Cross-functional networking,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Over the lunch hour,Too long of a story to post here.
10,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,park day,Engagement & culture,Quarterly,Afternoon during work hours,the PINS event was really fun since it brought the whole company together
153,,FL,Professional Development,,Cross-functional networking,Social activities & events,,5,3,4,,Engagement & culture,Quarterly,Over the lunch hour,The baseball game was fun. Maybe a soccer game?
65,,FL,,,,Social activities & events,"I wish I had time, but I'm too busy",5,3,2,Food,Other - Write In (Required),Monthly,Afternoon during work hours,"Team building, shuttle, food"
117,,FL,,,Cross-functional networking,Social activities & events,,2,4,5,enjoyed the EAG ice cream cart and other routings done by the EAG,Engagement & culture,Monthly,Afternoon during work hours,suggest EAG networks with remote offices to ensure idea sharing and support
56,,FL,,,,Social activities & events,,3,5,4,,Sense of belonging,Quarterly,Over the lunch hour,sports teams/leagues
126,,FL,,,,Social activities & events,,3,4,5,,Professional development,Monthly,Afternoon during work hours,Sounds game Predators games Happy hour
142,,FL,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,2,4,5,Board/Card Game Tournaments,Engagement & culture,No preference,Afternoon during work hours,Sounds game outings
76,Denver,CO,Professional Development,Mentoring,,,,3,4,5,Social activities are difficult for those who work remotely- or are not in the main office.  Other types of engagement would be appreciated.,Engagement & culture,Quarterly,Afternoon during work hours,Something for remote employees would be appreciated.
102,,FL,Professional Development,Mentoring,Cross-functional networking,,,1,5,2,,Sense of belonging,Quarterly,Afternoon during work hours,social medica might be a great way to connect with others that do not want to partake in person
47,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Quarterly,Over the lunch hour,"Possibly help raise awareness of smaller, lesser known charities that are impportant to employees.  "
138,,FL,Professional Development,,,Social activities & events,,4,3,2,Christmas Party,Sense of belonging,Quarterly,Afternoon during work hours,Please bring back the Christmas Party
57,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,Afternoon during work hours,"Overall, my experience at HealthTrust has been amazing. The only area that I would suggest as potentially needing some attention is the new hire / onboarding process. I'm not sure if this is the realm of EAG's influence, but that has been the only blight on an otherwise exemplary experience.   Specific areas of focus (from my personal experience): - Background checks: process was cumbersome, nearly derailed my hire date, and let to me joining the company feeling very off balance. Outsourcing the ""initial contact"" to a company that is neither influenced or motivated by our company culture and objectives seems like a misstep. - Long gap between offer letter and first paycheck. I believe it was 6 weeks for me. For most people, that might be a deal breaker that could result in HealthTrust missing out on top talent. - Technology accessibility upon hire. It took 3 days for me to get my laptop and another few days to get it working properly. I've heard that I was one of the lucky ones to get it so quickly.  All of these are minor things, but combined to create a feeling of chaos as my first interaction with the company.   Again, I have loved my experience as part of the HealthTrust family. This is the only area that I can think of that hasn't been incredible."
137,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,4,1,,Engagement & culture,Quarterly,Afternoon during work hours,"One thing that a previous employer of mine did that I thought was neat (and miss) was to have a week dedicated towards fun events for charity (tug of war, various games, karaoke contest, etc). A lot of it was very team based and helped foster a healthy team/tribal culture among the different work groups. It was a great way for cross-functioning networking too. I miss that, but I still feel like I made the right choice by onboarding with HealthTrust."
48,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Monthly,Over the lunch hour,"Note - I think lunch hour would work well for book club like activities but after 5pm would work better for trivia, happy hour, pickleball etc."
83,Austin,TX,,,,,"I wish I had time, but I'm too busy",3,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,no time
131,,FL,,,,Social activities & events,,2,4,3,"Sounds games, park day, Preds games, etc.",Engagement & culture,Monthly,Afternoon during work hours,More social activities
39,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,1,3,"we need to get plugged in, we need FUN event like the Baseball game.",Professional development,Monthly,Afternoon during work hours,More professional development.
20,,FL,Professional Development,Mentoring,,Social activities & events,,2,1,3,,Engagement & culture,Monthly,Over the lunch hour,More opportunity to connect with people in the Capitol View building. 
162,,FL,,,Cross-functional networking,Social activities & events,,1,5,4,,Engagement & culture,Quarterly,Afternoon during work hours,More gatherings/events to get to know others in the building
60,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,2,Volunteer activity as a company ,Engagement & culture,Quarterly,Over the lunch hour,"More courses on financial planning, estate and wills, etc."
17,,FL,,Mentoring,,,"I wish I had time, but I'm too busy",3,2,4,,Sense of belonging,No preference,Afternoon during work hours,More chargers for electric vehicles would be very helpful
18,Austin,TX,Professional Development,Mentoring,Cross-functional networking,,,1,3,2,,Professional development,Quarterly,Over the lunch hour,Maybe have the activities more than once to include all the staff.
158,,FL,,Mentoring,,Social activities & events,,3,4,5,,Sense of belonging,Monthly,Afternoon during work hours,lunch buddy tables
77,,FL,,,,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,Afternoon during work hours,Loved Pins Mechanical last year.  
129,,FL,Professional Development,,,Social activities & events,,3,2,1,"I am open to all activities, I do enjoy team building activities after work hours as well",Sense of belonging,Monthly,Over the lunch hour,"Keep going and keep being open to new ideas, culture and fun!"
112,,,Professional Development,Mentoring,Cross-functional networking,,,3,1,2,,Professional development,Quarterly,Afternoon during work hours,"Increased integration and collaboration between affiliates and teams to streamline processes, increase efficiencies, and leverage resources/expertise"
69,Austin,TX,Professional Development,,Cross-functional networking,Social activities & events,,2,1,3,travel ,Engagement & culture,Quarterly,Over the lunch hour,"In some cities, there's an annual Corporate Olympics that is really fun - not sure if HealthTrust would be interested in participating or being a sponsor.  There are a lot of different events and for the non-athletic, there's the opportunity to help out as score keepers and organizers."
87,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Engagement & culture,Quarterly,Afternoon during work hours,"I'm relatively new to HealthTrust, but so far my impression is that attendance to monthly, lunch-hour events is kind of low because we are all immersed in our workday at that point. I'd love to connect with my colleagues at one or two social outings during the year that took place toward the tail end of the day. Thanks to the EAG for all that they do! "
49,,FL,,,,Social activities & events,,4,5,3,,Professional development,Quarterly,Over the lunch hour,I would really to see HealthTrust move to a Hybrid work schedule (Maybe 2 days from home; 3 days in the office).
6,,FL,Professional Development,Mentoring,,,,2,3,1,,Professional development,Monthly,Over the lunch hour,"I would love to participate in some sort of leadership to young professionals connection event. As a young professional myself, I think there is a wealth of knowledge I could tap into from our leaders, would just love a forum to do so. "
34,,FL,,,,Social activities & events,,3,4,5,kids event ,Engagement & culture,Quarterly,Afternoon during work hours,I would just love to see more opportunities for the entire company to get together. 
79,,FL,,,,Social activities & events,,2,3,1,,Engagement & culture,Monthly,Over the lunch hour,"I like the Lunch and Learn events. That's a very convenient time of day and amount of time for me to be able to attend them. I also like the larger events such as the annual company event (Pins, Sounds game, etc.) and the smaller holiday events we do onsite (the winter contests, lucky grams, etc.)"
7,,FL,,Mentoring,Cross-functional networking,Social activities & events,,3,4,5,,Engagement & culture,Monthly,Afternoon during work hours,I like the idea of more networking events.
154,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,5,4,Large events like Pins,Engagement & culture,Quarterly,Afternoon during work hours,"I like the food truck events, too."
29,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,5,1,,Engagement & culture,Quarterly,Afternoon during work hours,"I feel like the big social events are what people look forward to the most. Nothing EAG does will ever serve the entirety of the org. Pins event is awesome, love cookies and treats for special things, Spooktacular people seemed to really respond well to because they got to include their kiddos. I think focusing on a few bigger things, and then some small things spread out here and there are the most impactful. the food trucks were fun too when we split that with DEI"
91,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Professional development,Quarterly,Over the lunch hour,"I don't know what this bucket would be called but offering classes such as CPR through the American Heart Association, identity-theft mitigation (Joey Tamboli has done this in the past and it was a great session) and self-defense classes as crime in Nashville continues to increase (we had an assault/car jacking) in our own parking garage). Continue to offer cyber-crime mitigation course. Self-defence classes may need to be on a more frequent cadence than quarterly if, for example, 6 sessions to complete a course successfully, maybe that is held a certain number of times per year and would occur every other week until the 6 class cycle was complete."
185,,FL,,,,Social activities & events,,4,1,5,"While some of these seem fun, I'm not interested in spending my time outside of work at work functions.",Engagement & culture,No preference,Over the lunch hour,"I don't know if this is EAG related, but our celebrations have been really uninspired over the last year. As examples: in office holiday party and breakroom cookies for our third year on top places to work. We used to work half days and then actually go celebrate as a company (the sounds game, game terminal, etc.), the new celebrations make me feel unvalued and disengaged."
177,,FL,Professional Development,Mentoring,Cross-functional networking,,,1,4,5,,Sense of belonging,Quarterly,Over the lunch hour,How to connect across the organization
111,Austin,TX,Professional Development,,,Social activities & events,,3,5,4,Volunteer opportunities,Professional development,Quarterly,Over the lunch hour,Hear more from leaders on how they got where they are today
97,,FL,Professional Development,Mentoring,,Social activities & events,,5,2,3,,Sense of belonging,Monthly,Afternoon during work hours,"Having these engagement events more frequently is a great way to connect with people in other departments that I don't see often, and break up the everyday work routine. I am very excited about the EAG's progress to increase engagement and culture! Thank you for all you do."
122,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,5,3,Volunteer activity at Project Cure warehouse located off Charlotte Ave. This activity has 2 benefits. #1 Serves Pjt Cure function. #2 demonstrates the amount of usable waste in medical supply chains.,Sense of belonging,Quarterly,Afternoon during work hours,Group discount tickets to TPAC or the Symphony. Symphony has a program for young professionals that includes social time along with the program. TPAC needs support as they grow and plan their move to an East Nashville new facility.
174,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,3,1,Events focused on informing about different cultures.,Engagement & culture,Monthly,"Early morning, prior to 9:00 am",Getting use to upper management and execs in different settings could be good for office morale and culture.
108,,,Professional Development,,Cross-functional networking,Social activities & events,,3,4,1,In the building fun things to take a quick break from work and connect. ,Sense of belonging,Monthly,Over the lunch hour,Fun lunch or afternoon quick breaks for people to connect for 30 min and the. Go back to work.  
120,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Over the lunch hour,Ensure we know about the events ahead of time 
145,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",3,4,1,,Sense of belonging,Quarterly,Afternoon during work hours,"EAG activities and the value they create are only valuable if they are prioritized by leadership as well. These activities can't be a ""check the box"" for leadership. They have to believe in the value of sense of community within the organization. That will ultimately drive more productivity. "
167,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",2,1,3,,Professional development,Annually,Over the lunch hour,Don't care about break room treats or holiday celebrations. Focus on employee feedback and resolution reporting.
191,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,"Music Club -- could possibly host a colleague talent showcase (could be writer's round style) + casual mixer for ""audience"" members to walk around, network, and enjoy light refreshments to the backdrop of HealthTrust talent. ",Engagement & culture,Quarterly,Afternoon during work hours,Create a more solid understanding of what powers the EAG holds -- aka what the EAG can and cannot do/provide.
148,,FL,Professional Development,,,Social activities & events,,2,5,1,,Other - Write In (Required),Quarterly,Over the lunch hour,Coordinate with DEI Council to space events out across the quarter and/or year
86,,FL,Professional Development,,,,,5,4,3,,Professional development,Quarterly,Over the lunch hour,Continuing education for employees who have requirements for licensure would be helpful.
116,,FL,,,,Social activities & events,,1,3,2,Charity events,Engagement & culture,Quarterly,Over the lunch hour,Change salad bar back to made to order versus self-serve.
150,,FL,,,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",2,4,3,,Other - Write In (Required),Monthly,Afternoon during work hours,Besides company-wide social events I'm not that interested in extra EAG engagement
37,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,1,5,"quit wasting money on decorated cookies or cheap treats. let people leave early or sponsor events during work hours;
Pins during the afternoon is a nice break and way to meet/network with other groups",Engagement & culture,Quarterly,Afternoon during work hours,"Asking employees what improvements will help, then giving EAG impossible tasks without leadership support is really quite useless. Leadership needs to support these initiatives otherwise EAG is set up for failure. "
42,,FL,Professional Development,,,Social activities & events,,2,3,4,Having a day at the Nashville Sounds was fun. Would like to do that again.,Professional development,Quarterly,Afternoon during work hours,An afternoon at Top Golf would also be fun.
70,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Sense of belonging,Quarterly,Afternoon during work hours,Allow for more employees to travel to conventions for personal growth.
106,,FL,,,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",3,1,2,,Engagement & culture,Quarterly,Afternoon during work hours,
104,,FL,,,,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Afternoon during work hours,
26,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",1,2,3,,Sense of belonging,No preference,After 5:00 pm,
141,,FL,,,Cross-functional networking,Social activities & events,,5,4,1,,Other - Write In (Required),No preference,Afternoon during work hours,
54,,FL,,,,,"I wish I had time, but I'm too busy",2,4,5,,Professional development,No preference,Afternoon during work hours,
71,,FL,,,,,"I wish I had time, but I'm too busy",1,4,2,,Sense of belonging,Annually,"Early morning, prior to 9:00 am",
186,Austin,TX,,,,,"I wish I had time, but I'm too busy",3,5,4,,Sense of belonging,Quarterly,After 5:00 pm,
95,,FL,,,,,"I wish I had time, but I'm too busy",2,5,4,I have no idea.  Too busy to do anything else.,Engagement & culture,Monthly,Afternoon during work hours,
157,Lake Dallas,TX,Professional Development,Mentoring,Cross-functional networking,,,5,4,3,,Professional development,Quarterly,Afternoon during work hours,
146,,,Professional Development,,Cross-functional networking,,"I wish I had time, but I'm too busy",1,2,3,,Sense of belonging,Quarterly,Over the lunch hour,
168,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",1,2,3,,Engagement & culture,No preference,Over the lunch hour,
130,,FL,,,Cross-functional networking,Social activities & events,,4,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,
136,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,
35,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,3,5,,Engagement & culture,Quarterly,After 5:00 pm,
67,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,4,5,Classes - learning a new skill,Sense of belonging,Monthly,Over the lunch hour,
12,,FL,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,3,5,4,,Engagement & culture,Monthly,After 5:00 pm,
61,,FL,,,,Social activities & events,,2,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,
