Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
WZNFN3KP4GF,Accepted,2024-05-01T18:35:23.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
KYNJTNG7TKD,Accepted,2024-05-09T17:13:26.000Z,Speaker - Member,"Value Analysis Journey: From Concept to Reality, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
RLNJNKNSKB2,Accepted,2024-04-25T23:12:55.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, No, I will not attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,No Response,,,
94NRDY8YL7B,Accepted,2024-05-22T15:42:14.000Z,HCA Member Full Conference,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Operationalizing Guideline Medication Management-Exploration of Collaborative Practice Pharmacist, Yes, I will attend the Closing General Session"
G4NJL5FKNZR,Accepted,2024-05-20T19:34:03.000Z,HCA Member Full Conference,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
LJN6N6ZCR84,Accepted,2024-04-25T22:34:24.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
CKN7MTBYJTD,Accepted,2024-05-09T12:39:54.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,Declined,2024-05-30T19:33:15.000Z,Member Full Conference Registration,
,No Response,,,
HVNXJW8GB9S,Accepted,2024-05-03T20:36:41.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
