Response ID,Column1,Status,City,State/Region,Professional Development,Monitoring,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",Clubs,Sports Leagues,Social Outings,Other interested Activities,Focus Areas in Future,Preferred Frequency,Preferred Hours,additional ideas or requests.
148,,Complete,,FL,Professional Development,,,Social activities & events,,2,5,1,Lunch and learns,Other - Write In (Required),Quarterly,Over the lunch hour,Coordinate with DEI Council to space events out across the quarter and/or year
142,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,2,4,5,Board/Card Game Tournaments,Engagement & culture,No preference,Afternoon during work hours,Sounds game outings
57,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,1,"Building a hobbit house using nothing but discarded Monster energy cans, Taylor Swift CD's, and barbed wire. Upon completion, Casa de Frodo could be utilized as a multipurpose facility, which would double as the cornerstone for a black market falconry training institute / money laundering scheme and seeing eye raccoon adoption facility.",Engagement & culture,Quarterly,Afternoon during work hours,"Overall, my experience at HealthTrust has been amazing. The only area that I would suggest as potentially needing some attention is the new hire / onboarding process. I'm not sure if this is the realm of EAG's influence, but that has been the only blight on an otherwise exemplary experience.   Specific areas of focus (from my personal experience):
 - Background checks: process was cumbersome, nearly derailed my hire date, and let to me joining the company feeling very off balance. Outsourcing the ""initial contact"" to a company that is neither influenced or motivated by our company culture and objectives seems like a misstep.
 - Long gap between offer letter and first paycheck. I believe it was 6 weeks for me. For most people, that might be a deal breaker that could result in HealthTrust missing out on top talent.
 - Technology accessibility upon hire. It took 3 days for me to get my laptop and another few days to get it working properly. I've heard that I was one of the lucky ones to get it so quickly.  All of these are minor things, but combined to create a feeling of chaos as my first interaction with the company.   

Again, I have loved my experience as part of the HealthTrust family. This is the only area that I can think of that hasn't been incredible."
116,,Complete,,FL,,,,Social activities & events,,1,3,2,Charity events,Engagement & culture,Quarterly,Over the lunch hour,Change salad bar back to made to order versus self-serve.
138,,Complete,,FL,Professional Development,,,Social activities & events,,4,3,2,Christmas Party,Sense of belonging,Quarterly,Afternoon during work hours,Please bring back the Christmas Party
67,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,4,5,Classes - learning a new skill,Sense of belonging,Monthly,Over the lunch hour,
121,,Complete,Nashville,TN,,Mentoring,Cross-functional networking,Social activities & events,,2,5,1,Coffee/lunch networking series,Engagement & culture,Monthly,Afternoon during work hours,"When scheduling EAG events, please check first with all departments about important board meetings etc."
36,,Complete,,FL,,,,Social activities & events,,4,2,3,community service,Other - Write In (Required),No preference,After 5:00 pm,
150,,Complete,,FL,,,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",2,4,3,Deep focus pods,Other - Write In (Required),Monthly,Afternoon during work hours,Besides company-wide social events I'm not that interested in extra EAG engagement
117,,Complete,,FL,,,Cross-functional networking,Social activities & events,,2,4,5,enjoyed the EAG ice cream cart and other routings done by the EAG,Engagement & culture,Monthly,Afternoon during work hours,suggest EAG networks with remote offices to ensure idea sharing and support
65,,Complete,,FL,,,,Social activities & events,"I wish I had time, but I'm too busy",5,3,2,Food,Other - Write In (Required),Monthly,Afternoon during work hours,"Team building, shuttle, food"
42,,Complete,,FL,Professional Development,,,Social activities & events,,2,3,4,"Have lunch provided from time to time
Having a day at the Nashville Sounds was fun. Would like to do that again.",Professional development,Quarterly,Afternoon during work hours,An afternoon at Top Golf would also be fun.
33,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,1,3,I am remote.,Engagement & culture,Quarterly,Afternoon during work hours,Nothing at this time.
95,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",2,5,4,I have no idea.  Too busy to do anything else.,Engagement & culture,Monthly,Afternoon during work hours,
66,,Partial,,FL,,,,,,,,,I live in Chicago,Engagement & culture,No preference,After 5:00 pm,
151,,Complete,,FL,Professional Development,,,,,5,4,3,I work remotely,Professional development,No preference,Over the lunch hour,
113,,Complete,Nashville,TN,,,,,"I wish I had time, but I'm too busy",2,3,4,I would like an additional remote day or two or more PTO. I dont need to hang out with people I work with.,Engagement & culture,No preference,Over the lunch hour,Treat people to an occasional lunch program perhaps 
